Titre du poste,Entreprise,Adresse,Salaire,Decription,date
Junior Trader (Paris),WEBB Traders BV,Paris 8e (75),,"Our team consists of hard-core traders, curious researchers, brilliant and creative developers and an enthusiastic support staff. Apply via our WEBB site.",Postedil y a 30+ jours
"Software Engineer, University Graduate, 2022",Google,Paris (75),,"At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new…",Postedil y a 30+ jours
nouveauBusiness Developer strategy & tech consulting (stage M1/M2),FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,1 300 € par mois,"Créé en 2003 au cœur de l’écosystème numérique français, Fabernovel naît d’une conviction : celle que la technologie a le pouvoir de construire un futur plus…",Postedil y a 4 jours
ANGULAR / IONIC Developer (3+ années d’exp) (IT),DEV AND CONNECT,Paris (75),40 000 € - 60 000 € par an,Mise en place un design system simple.,Postedil y a 20 jours
nouveauBusiness Developer strategy & tech consulting (stage M1/M2),FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,1 300 € par mois,"Cette Talent Company rassemble Designers, Strategists, Project Analysts, Developers, Data Analysts, Product Managers, Media Specialists, Finance Managers,…",Postedil y a 4 jours
nouveauiOS Developer,Europcar Mobility Group,Paris (75),,"Reporting to the iOS Chapter Captain, the iOS developer objectives are : Be an expert on the stack and scope of the squad. Develop iOS applications in Swift.",PostedAujourd'hui
Temporary less 6 months - Developer PnR for Intelligent RPA...,SAP,92300 Levallois-Perret,,"Work Area: Software-Development Operations. Employment Type: Limited Full Time. Responsible for development focusing on design, coding, testing, quality…",Postedil y a 24 jours
nouveauScala Engineer,blindnet,75011 Paris 11e,55 000 € - 78 000 € par an,Participate in the design of blindnet services. Work with security experts to ensure your implementations bring the highest security and data privacy standards…,PostedAujourd'hui
nouveauBusiness Developer H/F,ARIADNEXT,Télétravail in Paris (75),55 000 € - 75 000 € par an,Vous cartographiez les secteurs qui vous sont confiés pour en repérer les acteurs à plus fort potentiel de revenu. Vous maitrisez l'anglais oral et écrit.,Postedil y a 4 jours
Business Developer H/F (sans prospection - uniquement closer...,Chope Ton Biz Dev,Paris (75),35 000 € - 55 000 € par an,20 % de croissance mensuelle depuis le lancement commercial en 2018. Une satisfaction client exceptionnelle (5/5 sur Google). Affiner les process du pôle.,Postedil y a 9 jours
nouveauPython Quant Developer,Anson McCade,Paris (75),,The ideal candidate will have strong python coding and front office business/quant facing experience. Successful candidates will join a highly accomplished team…,Postedil y a 7 jours
