Titre du poste,Entreprise,Adresse,Salaire,Decription,date
nouveauDéveloppeur Front-End H/F,Anson MC CADE,Levallois-Perret (92),45 000 € - 50 000 € par an,- Mener le développement et l’intégration des maquettes. - S’assurer du respect des normes et standards de codage (revues de code).,Postedil y a 6 jours
nouveauSales Project Manager H/F,WEDOOGIFT,75008 Paris 8e,32 000 € - 40 000 € par an,"Une fois la vente finalisée, tu t'occupes de la gestion du projet de paramétrage des logiciels en direct avec le client: Tu as de bonnes bases en comptabilité.",Postedil y a 7 jours
nouveauDigital Transformation Strategist (Stage),FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,,"Cette Talent Company rassemble Designers, Strategists, Project Analysts, Developers, Data Analysts, Product Managers, Media Specialists, Finance Managers,…",Postedil y a 4 jours
Business Developer H/F,Des bras en plus,75018 Paris 18e,1 800 € - 3 548 € par mois,L’année dernière c’est près de 20 000 foyers qui ont choisi Des bras en plus pour leur déménagement.*. Tu identifies des cibles et secteurs à prospecter (Start…,Postedil y a 9 jours
Backend and Database Developer (m/f/d),Infront Financial Technology GmbH,Paris (75),,Facilitate in the growth of other developers through code review and one-on-one interaction. Backend and Database Developer (m/f/d).,Postedil y a 30+ jours
BACKEND DEVELOPER - GOLANG,Harnham,Paris (75),45 000 € - 60 000 € par an,Au sein d'une équipe composé. Vous serez amené à repenser l'architecture Backend. Diplomé d'une école d'ingénieur. Maitrise de Golang ou C++.,Postedil y a 30+ jours
Fullstack Developer Web/Mobile - Stage (H/F),Sparted,75002 Paris 2e,,"Focalisé sur l’augmentation de la performance métier des employés de terrain, SPARTED permet chaque jour d’améliorer, entretenir et mettre à jour leurs savoirs,…",Postedil y a 26 jours
nouveauMobile Engineer-Freelance,SumUp,Télétravail in 75010 Paris,,Help developers to progress together. Contribute to the development of our POS App and shareable components (multiplatform components between mobile and backend…,Postedil y a 8 jours
Web Full-Stack Developer,OCDE,Paris (75),,The International Service for Remunerations and Pensions (RPS) is a Service committed to provide studies on remuneration and pension policies of International…,Postedil y a 19 jours
Senior Full Stack Developer,Skello,Paris (75),,"En 5 ans, l'équipe Skello a construit un outil utilisé par plus de 7000 points de ventes et des milliers de personnes. Et cela ne fait que commencer !",Postedil y a 30+ jours
nouveauBusiness Developer (H/F),LASER COMPONENTS,92190 Meudon,50 000 € par an,"Afin de développer de nouveaux marchés dans le secteur de la photonique, nous recherchons actuellement un Business developer ayant des connaissances solides en…",Postedil y a 7 jours
Business Developer H/F,Wecasa,Paris 18e (75),30 000 € - 45 000 € par an,"50 collaborateurs et un collectif de 5000 pros plus tard, Wecasa est devenue la référence des services à domicile. Wecasa n’attend que ça !",Postedil y a 15 jours
nouveauAlternance : commercial & business developer - cave à vins (...,Clement Selection,Paris (75),,Période : dès mars 2022 pour 6 à 15 mois (si alternance).,Postedil y a 7 jours
Stage Business Developer H/F,Atelier 27,Télétravail temporaire in 75004 Paris 4e,1 000 € par mois,Atelier 27 compose des collections uniques d’œuvres d’art et d’objets décoratifs créées sur-mesure pour des projets d’hôtellerie d’exception ou de résidences…,Postedil y a 11 jours
Alternance Business Developer - H/F,Talan,Paris (75),,"En nous rejoignant, vous jouerez un rôle essentiel au sein du service Trad’in. Rattache(é) au manager de l’équipe et en étroite collaboration avec les…",Postedil y a 30+ jours
Strategic Transformation Business Developer (F/H),Accenture,Paris (75),,"Au sein de l’équipe commerciale de Products Gallia, le Strategic Transformation Business Developer jouera un rôle déterminant dans la création et la conception…",Postedil y a 30+ jours
Lead developer back F/H,WYND / Thematic Groupe,Paris 8e (75),,A partir de 50 k€ brut annuel. Assurer le développement et la maintenance d’applications PHP tout en garantissant la qualité du code assurant la scalabilité des…,Postedil y a 30+ jours
Developer BackEnd,Lydia Solutions,Télétravail temporaire in 75004 Paris 4e,,"With us, our engineers who develop a project are responsible for decision-making that is both simple and efficient. You have excellent skills in PHP and SQL ;",Postedil y a 30+ jours
Lead developer back F/H,WYND / Thematic Groupe,Paris 8e (75),,A partir de 50 k€ brut annuel. Assurer le développement et la maintenance d’applications PHP tout en garantissant la qualité du code assurant la scalabilité des…,Postedil y a 30+ jours
Developer BackEnd,Lydia Solutions,Télétravail temporaire in 75004 Paris 4e,,"With us, our engineers who develop a project are responsible for decision-making that is both simple and efficient. You have excellent skills in PHP and SQL ;",Postedil y a 30+ jours
nouveauBusiness Developer – Healthcare Data H/F,Alcimed,Paris (75),,"En 1993, Alcimed voit le jour, avec pour vocation d’explorer et développer les terres inconnues de ses clients.",Postedil y a 7 jours
Integration Developer H/F,Eventmaker,Paris (75),,L'EventTech est un écosystème de solutions techniques très vaste. Le besoin d'intégrer des systèmes informatiques entre eux pour échanger des données est un…,Postedil y a 8 jours
nouveauVIE Business Developer H-F - Côte d'Ivoire (Abidjan),SQORUS,Paris (75),,"Nos consultants interviennent depuis plus de 30 ans auprès de grandes entreprises sur des projets stratégiques, à dimension internationale, autour des systèmes…",Postedil y a 7 jours
Business Developer - Paris - CDI,Squadata,Paris (75),,Devenez business developer chez Squadata !*. Squadata est une entreprise spécialisée en *data marketing* et particulièrement reconnue pour ses services de …,Postedil y a 30+ jours
nouveauCoach Agile IT (CDI),FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,,"Cette Talent Company rassemble Designers, Strategists, Project Analysts, Developers, Data Analysts, Product Managers, Media Specialists, Finance Managers,…",Postedil y a 4 jours
Consulting Business Developer,Numberly,75009 Paris 9e,,"Numberly, Marketing Technologist, puts data at the service of customer relations. The group enables companies to understand the needs of their prospects and…",Postedil y a 30+ jours
nouveauBusiness Developer H/F (CDI),Job4,Paris (75),30 000 € - 70 000 € par an,"\* Te faire gagner du temps (fini les heures passées à candidater !). Le monde a bien changé, le recrutement aussi. \* Tu as une première expérience en sales.",Postedil y a 4 jours
Full-Stack Developer (Internship),FactSet Research Systems,Paris (75),,"Meet with engineering team to establish and review the projects and tasks. Follow and implement engineer design guidelines, engineering development processes.",Postedil y a 30+ jours
Business Developer F/H,MUTUELLE GENERALE DES ETUDIANTS DE L'EST (MGEL),92110 Clichy,,Le Groupe MGEL vous offre l’opportunité de vivre une expérience sans pareille pour développer vos compétences commerciales.,Postedil y a 15 jours
Business Developer (H/F),Yateo,75005 Paris 5e,30 000 € - 35 000 € par an,"La mission du Business developer au sein de YATEO est d'assurer l'acquisition de nouveaux clients sur l'ensemble des pôles d'expertises (SEO,SEA,SMA,Tracking,…",Postedil y a 30+ jours
Full Stack Developer,Kindred Group,Paris (75),,Understand and specify needs directly with marketing teams (trading and product). Participate in the optimization of the existing and the integration analysis…,Postedil y a 30+ jours
BUSINESS DEVELOPER / EVENT MANAGER,Planet Coworking,Paris (75),,"Nous avons des leads entrants depuis notre site internet, via le SEO et Ads. Mais nous attendons également que vous relanciez notre base de prospects, clients…",Postedil y a 30+ jours
Web Developer,Spare Parts 3D,Paris (75),,"Deployment and maintenance of different systems/apps: App development focused around: geometrical computation, computation vision, Machine learning.",Postedil y a 30+ jours
"Part-Time English Teacher, in Paris",The Turner Learning Center,75017 Paris 17e,14 € par heure,Reports To: *TLC Home - Team Lead and Operations Lead. Salarié Status: *Part time CDI. Workdays: * Monday to Saturday based on contract hours.,Postedil y a 18 jours
nouveauAccount Manager H/F,Hublo,75011 Paris 11e,45 000 € - 90 000 € par an,"Sous la responsabilité du chef des ventes, vous serez chargé de générer une croissance constante et prévisible des revenus de notre base de clients existants.",Postedil y a 8 jours
"SWE - Intern (Software Engineering), CoreOS",Apple,Paris (75),,We work with Apple’s cloud storage service iCloud Drive as well as external developers of all sizes. Apple engineers have always focused on one person when they…,Postedil y a 30+ jours
International Business Developer – Neteven,WINNING SEARCH,Paris (75),,"Identification des prospects et des décisionnaires via les réseaux sociaux, la veille sectorielle, le CRM & outils digitaux.",Postedil y a 11 jours
nouveauBusiness Developer (stage) H/F,TeleTick,75005 Paris 5e,,"Assimiler, t'approprier et présenter le speech commercial avec conviction. Identifier des axes d'optimisation de l'outil. Type d'emploi : Temps plein, Stage.",Postedil y a 1 jour
Administrateur(rice) des Ventes pour un acteur historique du...,Data Recrutement,Paris (75),35 € par heure,"Gérer le suivi administratif des ventes (factures, suivis, relances, traitement des appels). Travailler en équipe avec les Business Developer (création de…",Postedil y a 30+ jours
Front End Developer sénior – Startup visionnaire mobilité,Konekt,Paris (75),60 000 € - 70 000 € par an,"Elle inclut une marketplace entre les opérateurs de Transport & Voyage et les flottes de taxis & VTC, une sorte de Booking.com des taxis, ainsi qu’une…",Postedil y a 30+ jours
Junior Front-End Developer,Critizr,75009 Paris 9e,,"Work closely in a small crew of great developers, product managers and designers. Today, thousands of retail professionals use Critizr to understand and engage…",Postedil y a 15 jours
Strategic Transformation Business Developer (F/H),Accenture,Paris (75),,"Au sein de l’équipe commerciale de Products Gallia, le Strategic Transformation Business Developer jouera un rôle déterminant dans la création et la conception…",Postedil y a 30+ jours
Stage Business Developer F/H - Paris - Mars 2022,Upfast,Paris (75),,Élevage / croissance du CA des clients existants. Analyse / vision périodique du marché. Bac +4/5 en école de commerce / d'ingénieur ou équivalent universitaire…,Postedil y a 14 jours
Business Developer H/F,Rue du commerce,75015 Paris 15e,,"Egalement acteur de l’économie circulaire, le site étoffe continuellement son offre de produits reconditionnés via le Pack Reprise qui permet de donner une…",Postedil y a 19 jours
nouveauBusiness Developer IT H/F,Ouidou,Paris (75),,Goût prononcé pour le travail en équipe et qualités d’animation transverse. Une première expérience professionnelle en cabinet de conseil ou plus largement en…,Postedil y a 4 jours
Business Manager Santé H/F,MedQuest,Paris (75),38 000 € - 45 000 € par an,Bac + 5 école de commerce ou scientifique.,Postedil y a 30+ jours
Business Manager H/F,Olayemi Consulting,92042 La Défense,65 000 € - 72 000 € par an,Notre travail consiste à identifier des candidats compétents et proposer directement leurs candidatures à nos clients en France et à l'étranger.,Postedil y a 19 jours
Business Developer - Plateforme Cse - Paris (H/F),Job2BeDone,Télétravail in Paris (75),35 000 € par an,"Pour se faire, vous collaborez avec les différents services (SDR, AMs, CSMs et le Marketing). Développer un portefeuille dans une logique d’acquisition new…",Postedil y a 30+ jours
Business Developer BtoB Junior H/F,La Banque Postale Consumer Finance,Paris (75),,Créer et développer vos affaires en gérant les leads qualifiés remontés par le marketing et clients existants qui vous sont confiés en leur apportant des…,Postedil y a 30+ jours
nouveauHTML5 Game Developer,Voodoo,Paris (75),,"In this position, you’ll be responsible for porting in HTML5 our game portfolio on multiple new platforms such as Snapchat or Facebook.",Postedil y a 5 jours
Business Developer H/F,Bosch Group,93400 Saint-Ouen,,"Effectuer des visites clients: Commercial terrain, vous avez pour objectif d’accroitre le marché des consommables. Vous fidélisez nos clients actuels et futurs.",Postedil y a 30+ jours
nouveauSenior React Native developer,CityMall,Paris (75),3 200 € - 5 000 € par mois,We are looking for a React Native developer interested in building performant mobile apps on both the iOS and Android platforms.,PostedPubliée à l'instant
Junior Business Developer,iBanFirst,Paris 8e (75),,"IBanFirst a développé une plateforme bancaire de pointe qui permet aux entreprises de réaliser des transactions multidevises rapides, sécurisées et économiques.",Postedil y a 30+ jours
BALENCIAGA - E-Business Project Manager (F/M),BALENCIAGA S.A.S.,Paris (75),,"Act as project manager for all Front-End projects working with Business Analysts, design teams, developers and UAT coordinators to manage end-to-end project…",Postedil y a 30+ jours
Stage - Business Developer Junior,Ulule,Télétravail in Paris (75),1 000 € par mois,"Assister l'équipe commerciale dans la vente de formations, les renouvellements, l'upsell et le cross-selling.",Postedil y a 30+ jours
nouveauBusiness Developer - Stage - H/F - Gennevilliers,Dejbox,92230 Gennevilliers+ 1 lieu,,"Créée il y a seulement 6 ans ; Plus de 450 collaborateurs talentueux et passionnés ; 19 villes ouvertes, bientôt 2 de plus ;",Postedil y a 2 jours
DevOps Developer (F/M),SAP,92300 Levallois-Perret,,"In contact with the team’s experts, you will design new features that will support the delivery of our cloud products and provide a necessary level of security.",Postedil y a 22 jours
Alternant - Business Developer H/F,Pour le compte de Institut F2I,Télétravail temporaire in 75015 Paris 15e,18 000 € - 20 000 € par an,"Cette offre est à pourvoir exclusivement via notre école. Ni frais d'inscription, ni frais de scolarité ne vous seront demandés dans le cadre d'une inscription…",Postedil y a 30+ jours
nouveau(H/F) Apprenti.e Business Developer,Actency,75019 Paris 19e,1 400 € - 1 500 € par mois,"Depuis 2007, nous accompagnons les Grands Comptes à profiter pleinement de Drupal, l'outil de création de sites web le plus puissant et le plus complet du…",Postedil y a 1 jour
nouveauStage Business Developer IT H/F - pré-embauche - fin d'étude...,NOVEO Group,75008 Paris 8e,1 100 € par mois,"➢ Participation au rendez-vous clients (10%). ➢ Montée en compétences sur le milieu du développement informatique (5%). Type d'emploi : Temps plein, Stage.",Postedil y a 4 jours
nouveauBusiness Developer H/F (CDI),Job4,Paris (75),30 000 € - 70 000 € par an,"\* Te faire gagner du temps (fini les heures passées à candidater !). Le monde a bien changé, le recrutement aussi. \* Tu as une première expérience en sales.",Postedil y a 4 jours
Business Developer-France (CDI),Power Dot,Paris 8e (75),,"En tant que Business Developer, tu auras un poste clé, chargé d’identifier, négocier et signer de nouvelles opportunités commerciales pour Power Dot en France.",Postedil y a 30+ jours
Business Developer Junior,Conseil 3D,75009 Paris,1 000 € par mois,"Dans le cadre du développement de ses activités et sous la responsabilité du Directeur Commercial et Marketing, CONSEIL 3D recherche un « Business Developer…",Postedil y a 18 jours
Senior Back-End / Java Developer,Binance,Paris (75),,Ability to supervise and mentor junior developers on the team. Translate business requirements and use cases into functional applications.,Postedil y a 30+ jours
Software Developer,Alstom,Saint-Ouen (93),,Reports directly to: Software Development and Data Architecture Manager. CCN smart data and AI. Participating in the development of the data platform which…,Postedil y a 30+ jours
nouveauBusiness Developer (stage) H/F,TeleTick,75005 Paris 5e,,"Assimiler, t'approprier et présenter le speech commercial avec conviction. Identifier des axes d'optimisation de l'outil. Type d'emploi : Temps plein, Stage.",Postedil y a 1 jour
nouveauDéveloppeur·euse Fullstack React/Node - CDI,FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,,"Cette Talent Company rassemble Designers, Strategists, Project Analysts, Developers, Data Analysts, Product Managers, Media Specialists, Finance Managers,…",Postedil y a 4 jours
Rails Developer,TSC,Télétravail in Paris 9e (75),,"TSC est une agence CX Digitale, les interactions innovantes composent son terrain de jeu. Elle conçoit, réalise et anime donc de nouvelles expériences qui…",Postedil y a 30+ jours
nouveauDeveloper Experience JavaScript Engineer (DX) - Ledger Live,Ledger,Paris (75),,A Coding interview with 2 developers from the team (1h). You will contribute to creating the best experience for internal/external developers.,Postedil y a 1 jour
Business Developer H/F,Conan & Jeken Consulting,Télétravail in 75008 Paris 8e,35 000 € par an,"La société propose une plateforme dédiée à la communication et la collaboration, même à distance, hébergée dans le cloud français.",Postedil y a 28 jours
International Business Developer – Neteven,WINNING SEARCH,Paris (75),,"Identification des prospects et des décisionnaires via les réseaux sociaux, la veille sectorielle, le CRM & outils digitaux.",Postedil y a 11 jours
Senior C# .Net Core Developer,"Tenable, Inc",Paris 8e (75),,"Learn daily about new attack patterns and software vulnerabilities. Net Core, Typescript, ReactJS, NodeJS. Modern DevOps tools: We build containers with Docker,…",Postedil y a 30+ jours
nouveau​​ Machine Learning Engineer(s)- Intelligent Algorithms Expe...,MOTION-ISE,Paris (75),,"You will work closely with the users, systems designers, and the developers. Candidate will define the end-to-end vision of our machine learning strategy as it…",Postedil y a 5 jours
Business Developer (F/H),Meritis,Paris (75),,Business DevelopmentVotre objectif est de faire évoluer le portefeuille client de Meritis. Prospection téléphonique et rendez-vous clients (présence terrain…,Postedil y a 30+ jours
International Business Developer,Bizon,Clichy (92),,"Bizon, c'est la première agence spécialisée dans l'accompagnement des marques sur Amazon Europe. La conquête de nouveaux clients en B to B en cycle court.",Postedil y a 13 jours
Full Stack Developer (f/h),Partoo,75018 Paris 18e,,Partoo est une startup SaaS B2B dont la mission est d'aider les établissements locaux à attirer et à fidéliser plus de clients grâce à internet.,Postedil y a 30+ jours
Junior Associate - McKinsey Digital,McKinsey & Company,75008 Paris,,"You will play an active role in all aspects of a client project, typically working in teams of 3 to 5 consultants alongside experts and partners of all tenures,…",Postedil y a 30+ jours
Business Developer H/F,Reesk Digital Solution,Hybrid remote in Paris (75),40 000 € - 60 000 € par an,"En lien avec le Directeur de l’activité Placement, vous disposez d’un poste de business developer. Vous assurez la fidélisation des clients en dynamisant les…",Postedil y a 21 jours
International Business Developer,Bizon,Clichy (92),,"Bizon, c'est la première agence spécialisée dans l'accompagnement des marques sur Amazon Europe. La conquête de nouveaux clients en B to B en cycle court.",Postedil y a 13 jours
Full Stack Developer (f/h),Partoo,75018 Paris 18e,,Partoo est une startup SaaS B2B dont la mission est d'aider les établissements locaux à attirer et à fidéliser plus de clients grâce à internet.,Postedil y a 30+ jours
Junior Associate - McKinsey Digital,McKinsey & Company,75008 Paris,,"You will play an active role in all aspects of a client project, typically working in teams of 3 to 5 consultants alongside experts and partners of all tenures,…",Postedil y a 30+ jours
Business Developer H/F,Reesk Digital Solution,Hybrid remote in Paris (75),40 000 € - 60 000 € par an,"En lien avec le Directeur de l’activité Placement, vous disposez d’un poste de business developer. Vous assurez la fidélisation des clients en dynamisant les…",Postedil y a 21 jours
Junior Business Developer,iBanFirst,Paris 8e (75),,"IBanFirst a développé une plateforme bancaire de pointe qui permet aux entreprises de réaliser des transactions multidevises rapides, sécurisées et économiques.",Postedil y a 30+ jours
IT Business Developer - ESN (H/F),Digicom,Télétravail in Paris (75),40 000 € - 80 000 € par an,"Réponse aux appels d'offre en régie et au forfait (compréhensions techniques et fonctionnelles des besoins clients). Type d'emploi : Temps plein, CDI.",Postedil y a 30+ jours
Business Developer H/F,Bim Soft,75015 Paris 15e,24 721 € - 48 941 € par an,Nous avons développé depuis 2 ans une solution qui répond à tous ces besoins « Interface » et 2022 et l’année du lancement commercial.,Postedil y a 21 jours
Salesforce Developer,Odaseva,Paris (75),,We’re seeking an experienced Salesforce Developer to join our awesome Product team based in Paris and develop our high end data management platform.,Postedil y a 30+ jours
nouveauBusiness developer Confirmé(e),mybizdev,Paris (75),,Des jobs de bizdev en start up ( plus de 70 postes ouverts en ce moment ). Des packages allant de 35K à 60K fixe .,Postedil y a 1 jour
nouveauCDI International Business Developer B2B M/F - Paris,Wabel,Paris (75),,Prospecting and developing your prospects portfolio mainly by phone (min 250 calls/week) + email and social network.,Postedil y a 8 jours
nouveauStage fin d'études - Business Developer Staffing (H/F),HITECHPROS,92120 Montrouge,1 200 € par mois,"Détectez les appels d’offres des clients pour la réalisation de leurs nouveaux projets IT (Digital, Cloud, Big Data, Devops, Conseil…).",PostedAujourd'hui
Business Developer (H/F),Invivoo,Paris (75)+ 1 lieu,,"Chaque mardi, 19h, nous vous envoyons les dernières opportunités. Inscrivez-vous à notre newsletter hebdomadaire et recevez chaque mardi à 19h nos dernières…",Postedil y a 30+ jours
Full-Stack Developer,FactSet Research Systems,Paris (75),,"We’re looking for passionate full stack engineers with proficiency and fluency in development, deployment of software, code best practices and code libraries.",Postedil y a 30+ jours
Administrateur des ventes H/F,SSPAYMENT,75002 Paris 2e,29 000 € - 31 000 € par an,"Plus de 10 000 clients « marchands » (Retail, B to B, Loisirs, Grande Distribution) nous confient plus de 4 Milliards d’euros de paiements à sécuriser chaque…",Postedil y a 25 jours
Business Developer F/H,ONOFF BUSINESS,Boulogne-Billancourt (92),,"Au sein de notre équipe commerciale, tu seras responsable d'un portefeuille de clients BtoB que tu devras conquérir, nous attendons de toi que tu sois un…",Postedil y a 8 jours
nouveauBusiness Developer H/F,Executive Access,92800 Puteaux,35 000 € par an,"Dans le cadre du développement d’une nouvelle Division, Business Unit, le leader du marketing d’opinion est à la recherche d’un business développer junior doté…",Postedil y a 8 jours
Linux Kernel Developer,Qorvo,Paris (75),,"Work with complex algorithms and data structures, write code from the ground up and test and improve existing code. Design, develop, test and debugs software.",Postedil y a 30+ jours
IOS or Android Developer - John Paul H/F,Accor,75003 Paris,,"Diplômé en Computer Science, le candidat idéal doit avoir une bonne connaissance des outils liés au développement Android ou iOS. Expérience avec d’autres APIs.",Postedil y a 30+ jours
Junior C++ Developer F/H,Tesselate,Paris 17e (75),,"Profil recherché : C/C++, script shell, SQL (oracle), Linux. Gérer des projets et des travaux de maintenance.",Postedil y a 30+ jours
Senior Developer .Net / Freelance,Beager,Paris (75),400 € - 550 € par jour,"NET Après un premier projet de transformation digitale pleinement réussie, et dans le but d'une amélioration continue afin de faire face à la concurrence ; le…",Postedil y a 30+ jours
nouveauAssistant commercial immobilier,Investissement Locatif,Paris (75)+ 1 lieu,,Business developer : vous recherchez les leads pour les commerciaux. 1/ Prospection client via les différents canaux. Préparation des RDV commerciaux `.,PostedAujourd'hui
Trading Support,HSBC,Paris (75),,"The role will require integration of the underlying mathematical models and analytical tools used by the FX, Fixed Income, Credit, or Equities desks at HSBC.",Postedil y a 13 jours
nouveauLead Developer React/Node - FoodTech | CDI,Eiquem,75009 Paris 9e,,Tu as de multiples bras et compétences notamment quand il est question de javascript (notamment sur React et Node).,PostedAujourd'hui
nouveauStage Business Developer H/F,HARTWOOD,Paris (75),,Bac +5 (Master / MBA) (Optionnel).,Postedil y a 7 jours
Business Developer (H/F),Diderot Campus,Télétravail in 75006 Paris 6e,2 200 € - 2 600 € par mois,"Nous recherchons différents profils pour des postes en CDD et en CDI. Informer, orienter, renseigner, convaincre : informer et encourager les prospects …",Postedil y a 30+ jours
Business Developer Commercial (F/H),Groupe les Echos Le Parisien,Paris (75),,"Construire un portefeuille clients via des actions de prospection téléphonique, prise de rdv, participation à des évènements professionnels et ouverture de…",Postedil y a 14 jours
Global Key Account Developer H/F,Bechtle Comsoft SAS,75019 Paris 19e,72 000 € - 120 000 € par an,"Assurer le reporting interne et client (QBR) et les différents KPI’s requis,. En véritable « chasseur » vous aimez relever les défis,.",Postedil y a 30+ jours
Python developer | Stage H/F,Orosound,75002 Paris 2e,,"Production and monitoring tools is key in the development of premium heaphones. The terminal is installed on the line, and people working on production lines…",Postedil y a 30+ jours
Business Developer H/F,Kel Foncier,Paris (75),,"En très fort développement (+50% par an depuis 6 ans). Son hyper-croissance, est lauréat du Pass French Tech, promotion 2019, et.",Postedil y a 8 jours
nouveauBack-end Developer dans une start-up (stage),Licorne Society,Paris (75),,"1 - Remplis ton profil et tes attentes. Le concept est simple, on envoie les plus beaux profils de Back-end Developer à nos startups préférées (pour ne citer…",Postedil y a 1 jour
Senior Frontend Developer (F/H)- CDI,HILTI,Paris (75),,"As a Senior FrontEnd Developer, you serve as a team expert in front-end implementation; emphasis on front-end scripting frameworks such as Angular/Typescript…",Postedil y a 25 jours
Junior ServiceNow Developer,Fujitsu,Asnières-sur-Seine (92),,"Fujitsu’s Service Management solutions combine the power of ServiceNow across the entire Enterprise Service Management portfolio (ITSM, HR, ITOM, GRC, CSM, FSM,…",Postedil y a 8 jours
Backend developer ‍ ️,AB TASTY,Paris (75),,"The tag is the javascript script, transpiled from typescript, which is loaded on the client website to do all the magic of AB Tasty (applying AB test,…",Postedil y a 30+ jours
Junior 3D Animator,Virtuos Games,Paris (75),,"For our next cross-platform PC and console productions, AAA game making, action adventure game, game under License, we are currently looking for a 3D animator…",Postedil y a 30+ jours
"UX Designer, Chrome for iOS",Google,Paris (75),,"Create artifacts, prototypes, and specs that enable developers to implement features efficiently. Bachelor's degree in Design (e.g., interaction, graphic,…",Postedil y a 19 jours
nouveauVlocity Devloper- H/F,Talan,Paris (75),,Piloter le processus de gestion de version de la plateforme Salesforce et de ses différentes composantes. Piloter le périmètre applicatif et technique (run &…,Postedil y a 7 jours
Business Developer (F/H),Meritis,Paris (75),,Business DevelopmentVotre objectif est de faire évoluer le portefeuille client de Meritis. Prospection téléphonique et rendez-vous clients (présence terrain…,Postedil y a 30+ jours
Business Developer e-santé France H/F,BioSerenity,Télétravail temporaire in 75013 Paris 13e,45 000 € - 80 000 € par an,Temporairement en raison du COVID-19.,Postedil y a 30+ jours
nouveauCommercial expertise comptable,Comptalitik,Paris 8e (75),50 000 € par an,"Rattaché(e) à la direction commerciale du groupe, tu travailleras en collaboration avec l’équipe Bizdev (sales et marketing) à l’exécution d’une stratégie d…",Postedil y a 4 jours
Business Developer H/F,VO2 Communications,Paris (75),35 000 € - 45 000 € par an,Participation à la synergie avec les autres marques VO2 Group pour développer des comptes existants. Qualification et mise à jour de la base de données clients.,Postedil y a 20 jours
Business Developer - Paris - CDI,Squadata,Paris (75),,Devenez business developer chez Squadata !*. Squadata est une entreprise spécialisée en *data marketing* et particulièrement reconnue pour ses services de …,Postedil y a 30+ jours
Business Developer H/F,SWAPPY,75017 Paris 17e,,"Lieu du stage : *Paris 17ème. Swappy simplifie la vie des professionnels de santé en leur donnant accès à *une solution simple, rapide et prédictive qui répond…",Postedil y a 20 jours
Stage Business Developer / Sales H/F - Paris,EDUMIAM,Paris (75),,"Prospecter, qualifier et conseiller les prospects susceptibles d’avoir besoin de nos formations en ligne. Assurer un reporting régulier et précis de l’activité…",Postedil y a 14 jours
nouveauLead Developer - Product External Content,Veepee,Paris (75),,Strong technical problem solving skills and ability to manage and develop a team of skilled developers. You will work very closely with the product owner but…,PostedAujourd'hui
nouveauCreative Developer / Senior Front-End Developer,Smartch,75013 Paris 13e,35 000 € - 45 000 € par an,"Smartch est la rencontre d'experts en Innovation Digitale, Learning & Data. L’accent sera mis sur la qualité des contenus pédagogiques publiés (ux/ui moderne,…",Postedil y a 5 jours
Android Junior Developer,Entrust Datacard,Paris (75),,"Career Growth, Flexibility and Collaboration! Entrust is dedicated to securing a world in motion by enabling trusted identities, payments, and data protection…",Postedil y a 19 jours
Business Developer Junior H/F,NEO2,92300 Levallois-Perret,30 000 € - 45 000 € par an,NEO2* est une société de référence spécialisée dans les métiers de l’ingénierie intervenant sur cinq secteurs d’activité : On-boarding des candidats recrutés.,Postedil y a 30+ jours
AI Designer –Designer IA (H/F/NB),Amplitude Studios,Paris (75),,"Ability to work effectively within a team and interact with a large variety of profiles (developers, players’ community, artists…).",Postedil y a 23 jours
"nouveauInternational Business Developer, Publishers F/H",Viously,Paris 8e (75),,"Viously is a startup and its mission is to help reconcile performance, growth and responsibility in online video. Viously is part of the Bricks startup studio.",Postedil y a 1 jour
nouveauAssistant(e) Commercial(e) H/F,HANA GROUP,92300 Levallois-Perret,,"Participer à l’aventure du premier opérateur mondial de corners sushis en supermarchés, ça vous tente ? Hana Group*, c’est d’abord une aventure entrepreneuriale…",PostedAujourd'hui
STAGE 6 MOIS - FULLSTACK DEVELOPER / WEB DEVELOPER #PYTHON #...,Voysen,Télétravail temporaire in 75013 Paris 13e,900 € - 1 200 € par mois,Voysen a pour mission d'aider les entreprises à comprendre les consommateurs en centralisant et en analysant tous les avis laissés sur les plateformes de vente…,Postedil y a 21 jours
BUSINESS DEVELOPER B TO B éclairage (F/H) – Région HAUTS DE...,CLAREO,Télétravail temporaire in 75008 Paris 8e,40 000 € - 80 000 € par an,Dans le cadre d’une création de poste et pour rejoindre l’équipe commerciale : Prospection et développement commercial dans votre zone géographique …,Postedil y a 23 jours
Odoo Developer (m/f/d),Camptocamp,Paris (75),,"To complement its Odoo dev team, Camptocamp Business Solutions team is looking for an Odoo developer. Odoo Developer (m/f/d)*. Open source as your spirit.",Postedil y a 30+ jours
Backend Developer / SRE,KMTX,Télétravail in Paris 8e (75),,Help developers to define & build their CI-CD workflow. Develop / Provide internal tools to help developer’s productivity (Python or Golang).,Postedil y a 22 jours
BUSINESS DEVELOPER SENIOR IT H/F,Bugbusters,Boulogne-Billancourt (92),45 000 € - 80 000 € par an,"Rejoignez un Leader du Field Services IT & Télécoms - le Groupe BUGBUSTERS – 12 M€ CA – 100 salariés. ( www.bugbusters.fr)*. Type d'emploi : Temps plein, CDI.",Postedil y a 30+ jours
